name,year,team,position,specific_position,rating,is_fired,is_promoted,is_assistant_hc,is_interim_hc,is_interim_coordinator
Ken Wisenhunt,2010,Cardinals,Head Coach,Head Coach,10,,,,,
Bill Davis,2010,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Russ Grimm,2010,Cardinals,Coordinator,Offensive Run Game Coordinator,7.5,,,1,,
Mike Miller,2010,Cardinals,Coordinator,Offensive Pass Game Coordinator,7.5,,,,,
Christopher James Miller,2010,Cardinals,Position,Quarterbacks Coach,5,,,,,
John McNulty,2010,Cardinals,Position,Wide Receivers Coach,5,,,,,
Tommie Robinson,2010,Cardinals,Position,Running Backs Coach,5,,,,,
Freddie Kitchens,2010,Cardinals,Position,Tight Ends Coach,5,,,,,
Chad Grimm,2010,Cardinals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Ron Aiken,2010,Cardinals,Position,Defensive Line Coach,5,,,,,
Matt Raich,2010,Cardinals,Position,Linebackers Coach,5,,,,,
Ryan Slowik,2010,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Donnie Henderson,2010,Cardinals,Position,Defensive Backs Coach,5,,,,,
Ken Wisenhunt,2011,Cardinals,Head Coach,Head Coach,10,,,,,
Russ Grimm,2011,Cardinals,Coordinator,Offensive Run Game Coordinator,7.5,,,1,,
Mike Miller,2011,Cardinals,Coordinator,Offensive Pass Game Coordinator,7.5,,,,,
Ray Horton,2011,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Christopher James Miller,2011,Cardinals,Position,Quarterbacks Coach,5,,,,,
John McNulty,2011,Cardinals,Position,Wide Receivers Coach,5,,,,,
Tommie Robinson,2011,Cardinals,Position,Running Backs Coach,5,,,,,
Freddie Kitchens,2011,Cardinals,Position,Tight Ends Coach,5,,,,,
Chad Grimm,2011,Cardinals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Ron Aiken,2011,Cardinals,Position,Defensive Line Coach,5,,,,,
Matt Raich,2011,Cardinals,Position,Linebackers Coach,5,,,,,
Ryan Slowik,2011,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Louie Cioffi,2011,Cardinals,Position,Defensive Backs Coach,5,,,,,
Ken Wisenhunt,2012,Cardinals,Head Coach,Head Coach,10,,,,,
Mike Miller,2012,Cardinals,Coordinator,Offensive Coordinator,7.5,,,,,
Ray Horton,2012,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Russ Grimm,2012,Cardinals,Position,Offensive Run Game Coordinator,5,,,1,,
John McNulty,2012,Cardinals,Position,Quarterbacks Coach,5,,,,,
Frank Reich,2012,Cardinals,Position,Wide Receivers Coach,5,,,,,
Tommie Robinson,2012,Cardinals,Position,Running Backs Coach,5,,,,,
Freddie Kitchens,2012,Cardinals,Position,Tight Ends Coach,5,,,,,
Chad Grimm,2012,Cardinals,Quality Control,Offensive Quality Control Coach,2.5,,,,,
Ron Aiken,2012,Cardinals,Position,Defensive Line Coach,5,,,,,
Matt Raich,2012,Cardinals,Position,Linebackers Coach,5,,,,,
Ryan Slowik,2012,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Louie Cioffi,2012,Cardinals,Position,Defensive Backs Coach,5,,,,,
Bruce Arians,2013,Cardinals,Head Coach,Head Coach,10,,,,,
Tom Moore,2013,Cardinals,Coordinator,Assistant Head Coach,7.5,,,,,
Harold Goodwin,2013,Cardinals,Coordinator,Offensive Coordinator,7.5,,,,,
Todd Bowles,2013,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Amos Jones,2013,Cardinals,Coordinator,Special Teams Coordinator,7.5,,,,,
Freddie Kitchens,2013,Cardinals,Position,Quarterbacks Coach,5,,,,,
Darryl Drake,2013,Cardinals,Position,Wide Receivers Coach,5,,,,,
Lyvonia Albert Mitchell,2013,Cardinals,Position,Running Backs Coach,5,,,,,
Rick Christophel,2013,Cardinals,Position,Tight Ends Coach,5,,,,,
Brentston Buckner,2013,Cardinals,Position,Defensive Line Coach,5,,,,,
Mike Caldwell,2013,Cardinals,Position,Linebackers Coach,5,,,,,
James Bettcher,2013,Cardinals,Position,Outside Linebackers Coach,5,,,,,
Ryan Slowik,2013,Cardinals,Position,Defensive Backs Coach,5,,,,,
Kevin Ross,2013,Cardinals,Position,Cornerbacks Coach,5,,,,,
Nick Rapone,2013,Cardinals,Position,Defensive Backs Coach,5,,,,,
Bruce Arians,2014,Cardinals,Head Coach,Head Coach,10,,,,,
Tom Moore,2014,Cardinals,Coordinator,Assistant Head Coach,7.5,,,,,
Harold Goodwin,2014,Cardinals,Coordinator,Offensive Coordinator,7.5,,,,,
Todd Bowles,2014,Cardinals,Coordinator,Defensive Coordinator,7.5,,,,,
Amos Jones,2014,Cardinals,Coordinator,Special Teams Coordinator,7.5,,,,,
Freddie Kitchens,2014,Cardinals,Position,Quarterbacks Coach,5,,,,,
Darryl Drake,2014,Cardinals,Position,Wide Receivers Coach,5,,,,,
Lyvonia Albert Mitchell,2014,Cardinals,Position,Running Backs Coach,5,,,,,
Rick Christophel,2014,Cardinals,Position,Tight Ends Coach,5,,,,,
Brentston Buckner,2014,Cardinals,Position,Defensive Line Coach,5,,,,,
Mike Caldwell,2014,Cardinals,Position,Linebackers Coach,5,,,,,
